Date,ITC.NS,HINDUNILVR.NS,ICICIBANK.NS,HDFCBANK.NS,BHARTIARTL.NS,RELIANCE.NS,TCS.NS,Other
2025-08-20,0.173968613925402,0.1571065052043495,0.12856437732915094,0.11717825210143427,0.0950813763808254,0.08426553308728453,0.059414273780817733,0.14191964659279452
2025-08-21,0.17359019981469542,0.15567640573504665,0.12982553964653973,0.11724416337282786,0.09506541960214338,0.08488894455189178,0.05943475923416069,0.14180269707181756
2025-08-22,0.17209460749014632,0.15607028519800886,0.13017975039808158,0.1167687601818662,0.09613093890688343,0.08475123065582706,0.059055445082224704,0.1420658882589109
2025-08-25,0.17189305925566653,0.15557812535688845,0.12939647785276248,0.11629573141909208,0.09563709037791622,0.08463309730844913,0.06049941879361885,0.14333607600917228
2025-08-26,0.17379401881887774,0.1593487270457202,0.12802978053221364,0.11539038903829729,0.09444657944793997,0.08305916309565978,0.06088197302484545,0.1422636424637078
2025-08-28,0.17454947015474698,0.15873505666233914,0.12777393257618974,0.11473154398164494,0.09425432461403835,0.08399062225839118,0.06028296432808204,0.14243695784319083
2025-08-29,0.15843659644141847,0.13242829958149704,0.12753962755068665,0.12337612528201969,0.09455445022646906,0.08217681605672601,0.09007974827771303,0.14955087758331556
2025-09-01,0.15666908874405075,0.13169733049428062,0.1285311294242856,0.12304265792863166,0.09498782360004313,0.0818414418289872,0.09074417230664511,0.15068767176196105
2025-09-02,0.15716546495315967,0.13319048467153827,0.1271212508429522,0.12236907515739526,0.09440758946697661,0.08268145260892035,0.09079816178901823,0.15041772890076793
2025-09-03,0.15866281867954304,0.13221634750311115,0.12702860410995376,0.1233203963010302,0.09398507006124272,0.0828236705285521,0.09014270142941859,0.150075486332587
2025-09-04,0.16003384244540314,0.1321222968956944,0.12761958668489345,0.12402220040041789,0.09367692975739647,0.08190438735721174,0.08996207154001253,0.1489627830429352
2025-09-05,0.1576711969624403,0.131249210420186,0.12812797653823815,0.12503495665182607,0.09497778982726567,0.08334053406734312,0.08910868411191394,0.14853659427351906
2025-09-08,0.1580058578688443,0.13098899776408748,0.12832776136361326,0.125576844164819,0.09475119502819343,0.08368892529793051,0.08839608952133873,0.14823235517551628
2025-09-09,0.15807847931781716,0.1311487099345731,0.12769496621224555,0.12475872634206471,0.09451626540197924,0.08307806777601118,0.08878262489331137,0.1501367997524967
2025-09-10,0.15843370337324988,0.13056283374138536,0.1270704901050793,0.12422737607122919,0.09392643299370566,0.08270805851509899,0.09009134547900352,0.15137437595011943
2025-09-11,0.15904174515764494,0.12937152497878926,0.12673551937254263,0.12434733364137124,0.09490413435675331,0.08300343067719212,0.09041223148373057,0.15060988934549746
2025-09-12,0.1584934203401231,0.1272835752599181,0.1281507429675304,0.1242437649673128,0.09435831745327801,0.08367898404630011,0.09064977450825815,0.15156999912813723
2025-09-15,0.15823887295000041,0.12744259503443073,0.12843982155418898,0.12434273281641027,0.09455222918168245,0.08402549663774335,0.09012279153874868,0.15120976654023768
2025-09-16,0.1576510476541618,0.12682594957701987,0.12802141493063596,0.1237202885622733,0.09582766327337568,0.0839807286856261,0.09066436269887551,0.15187230410812075
2025-09-17,0.15596815988717141,0.12608746346182964,0.12761489885813052,0.12349127125537189,0.09577372186105641,0.08436283482886123,0.0913092153267506,0.15400757808679205
2025-09-18,0.15620881432009368,0.1264273572329753,0.12733695084118404,0.12432922837355026,0.09538724332110385,0.08410238046913342,0.09106192614247142,0.1539136923288063
2025-09-19,0.15647311682166032,0.12558428598150803,0.12607861527815398,0.12353489592543455,0.09680882270484782,0.0839758493779498,0.09120008561013898,0.15494129089775205
2025-09-22,0.15625146666727935,0.12716952581292965,0.12698127412825425,0.12413387645944528,0.09724241369101652,0.08360921557762968,0.08913254713996689,0.15374896523586665
2025-09-23,0.15568157437263602,0.1253982498684972,0.12703882719193663,0.12392517333652507,0.09691405073463318,0.08403069220971894,0.08930099359833847,0.15573473225935597
2025-09-24,0.15532453568490373,0.12715868307109535,0.12638257791759994,0.12352055348394807,0.09684114416616554,0.08388548372978298,0.08879516072425457,0.15597213175556868
2025-09-25,0.15581960261840969,0.1272892658346692,0.12643648289527262,0.12403627038379296,0.09759522961426496,0.08369570807759744,0.0869843758603626,0.15578345724810327
2025-09-26,0.1585103032791949,0.126553915002615,0.1255364880509261,0.12399101569352489,0.09709261869468112,0.08440872491787618,0.08567146380908819,0.15566561289870873
2025-09-29,0.15952045494828765,0.12598695716128877,0.12460657492283785,0.12481195264195802,0.09646525774285823,0.08420376160160611,0.08567350734388197,0.15610590870217064
2025-09-30,0.17362146045824312,0.12726258321252806,0.12503297439743258,0.12534060904973998,0.09559136298446701,0.08395651414050044,0.08574446753412893,0.15647212172309838
2025-10-01,0.17412696183023307,0.12745420212280337,0.12635517801216534,0.12631512226738184,0.09436668546043506,0.08364741989986087,0.08589589286637099,0.1550455564603424
2025-10-03,0.1734087084878055,0.12777340791748787,0.12561291758387794,0.12618550746248247,0.09574863186541227,0.08324663909581137,0.08545443014524033,0.15579480710485333
2025-10-06,0.17111611743020966,0.12704611639277935,0.12488537099531428,0.12670055786881504,0.095641365787629,0.08357884300008742,0.08760746166666489,0.15676249149238214
2025-10-07,0.17058323929519267,0.12572274291316834,0.12593640649269497,0.12778315071590618,0.09687072334478375,0.0841117859398779,0.08711153782969243,0.15523195362384118
2025-10-08,0.17050317084659433,0.12482569001456852,0.1253806564620657,0.12724510232042663,0.09756528493885379,0.08302632487424556,0.08864823717383342,0.15615959053835388
2025-10-09,0.16987590055236088,0.12519002787626082,0.12541018437084592,0.12652223979071092,0.0970948974766948,0.08331876674416054,0.08929517756348147,0.15674821548604695
2025-10-10,0.17051419041131402,0.12531565018759147,0.12534743084315184,0.12657364288689363,0.09665340832880819,0.08326472388253488,0.08801463982200428,0.1578572043816481
2025-10-13,0.16985546637896326,0.1241436865725059,0.12589129715345454,0.12670001120831512,0.0978872052790332,0.083274793229707,0.08783788523339654,0.15781175822703508
2025-10-14,0.16926094262484576,0.12494736604783879,0.12665532583016487,0.1270556121680436,0.09773015892588338,0.08355034682405126,0.08669734935200872,0.15742778067896873
2025-10-15,0.16954883520010816,0.12501847464840968,0.1271878803282386,0.12642727570557166,0.09823033296217253,0.08294710620475777,0.08677056487146587,0.157349550625767
2025-10-16,0.1701011434927929,0.12588915820700428,0.12765095042153402,0.12725595940646,0.09721892475367981,0.08357338413114393,0.08595119856120147,0.15609112075871898
2025-10-17,0.17139007350391852,0.12674298077898571,0.12815546033875685,0.12708196024072702,0.09847480469236732,0.08387165383853537,0.08488804411466343,0.15337083392049872
2025-10-20,0.17097872598113303,0.1257126419105764,0.12345789818102691,0.12655118848644836,0.09994884368303172,0.08643439713899467,0.08601166024080717,0.15499300993285176
2025-10-21,0.17097435288044727,0.1256394447633923,0.1227771606204222,0.12720887488668092,0.09960475746696971,0.08637972417820852,0.08580853835447265,0.1556771454729135
2025-10-23,0.17189027027044668,0.12585001936795223,0.12089263689440333,0.12707575683672076,0.09766051649203873,0.0852069283388773,0.0875190837199736,0.15802369867408153
2025-10-24,0.17294680719512898,0.12222697891652866,0.12263384898445398,0.1258190105971767,0.09910552926967525,0.08574485152753475,0.08759149703692153,0.15793791583348368
2025-10-27,0.17299813731588376,0.12092279320298886,0.1215386865793007,0.12573242721018515,0.10068656664865198,0.08688802582749913,0.08743057910433229,0.1580330462805281
2025-10-28,0.17226897788505413,0.1204961720337544,0.1205405807463915,0.12610176838527323,0.10141198805732808,0.08725548119371758,0.0868679829414106,0.15922060783490166
2025-10-29,0.1729836599720129,0.11950191514828785,0.12062093238864716,0.12605144181710165,0.10144125698552997,0.08785899814242047,0.08645436517996959,0.15936506091171643
2025-10-30,0.1731801196573727,0.11955628746562198,0.12087006054428198,0.12583067604352116,0.10057809181809567,0.08763312349477073,0.08650607100258738,0.15991224063539455
2025-10-31,0.16236641558129822,0.11963589845583024,0.11963106430642902,0.12475286911646778,0.10023672105010584,0.08771339025581525,0.08735608293165933,0.16044465997401447
2025-11-03,0.16018073507684868,0.11958284475844143,0.11994335006752677,0.1256535690057485,0.10136936465146765,0.0877700083810386,0.08633352109288621,0.16122640479429634
2025-11-04,0.15896471025496375,0.11944231076092733,0.11965262885494862,0.12529864482558728,0.1037720437618727,0.08749050137384344,0.08597148408377,0.16128095821606256
2025-11-06,0.1586992295239933,0.11917795043771989,0.11838384357945264,0.12544270977160238,0.10304954927026211,0.08901289028854452,0.08671896865258819,0.1613114994603847
2025-11-07,0.15829338806028917,0.11973937467316464,0.12112767220594303,0.12588909257361108,0.09902702762465013,0.08846004432130845,0.08668237356164037,0.16234039438372397
2025-11-10,0.15807327361136994,0.11887398921942655,0.12096051776305508,0.12552958240476988,0.09943929109175922,0.08868319071125955,0.0872044603460491,0.1629809382917839
2025-11-11,0.15756756809468478,0.11903201499056508,0.1211066277584881,0.12564034317290984,0.09990509471043384,0.08835959795338458,0.08727212068311599,0.1630966054703485
2025-11-12,0.1567129079122526,0.1181965000907887,0.12045853332838147,0.12463570599742106,0.10085857880675124,0.088912654652601,0.08918153756974029,0.16323426547451728
2025-11-13,0.1561048950421338,0.1172918634091368,0.1227674039965977,0.12419122859296401,0.10166401477502836,0.0888162173279593,0.08837746828002283,0.16299416173607706
2025-11-14,0.15680857764768472,0.11809107722943948,0.12143957792564784,0.1243729665495981,0.10194118054024988,0.08915059825960872,0.08825148858410957,0.16219987216107748
2025-11-17,0.15608102037613908,0.11771526044395722,0.12171747765922529,0.1249868615496519,0.102286801681732,0.08893068919350611,0.08796083694115991,0.16264520499734497
2025-11-18,0.15594755688538456,0.11695519253307253,0.12149257961398822,0.12474924978375064,0.10430988068715032,0.0891928800133852,0.0877272090807798,0.161856443126225
2025-11-19,0.153942114249249,0.11792522032300323,0.12146561712201319,0.12411516056175931,0.1040660905472651,0.08851855940368876,0.0888022490265965,0.16365981375550637
