,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2025-05-26,-1.8543923300296639,-0.0944092848965794,-1.188679232945844,-0.03598199956738046,-2.6613761095306554,0.0,-1.9919625588507572,0.0,-0.6159011785437318,-4.324177690735742,0.0,-8.343973024780983,-3.1534540453162285,-3.3846195281877267,-3.055787755402728,-3.021455318084254,0.0,-8.214401710720464,-3.079385553883207,-0.14450930442694299,-1.8328502723442108,-2.949711588283932,-1.2778416806150328
2025-05-27,-2.2297443255288596,-0.768642250041085,-1.9045282458131085,-0.5560867939499725,-3.4525821856935646,-0.5960763779653933,-2.743259205581172,-0.6227015268871372,-1.1749135920759213,-5.225280248329501,-0.24824142586221676,-8.91421606216597,-3.8372474148560043,-4.051106545978545,-3.760571015854419,-3.7014915595006026,0.0,-8.765200956341868,-3.8287654709236674,-0.718098140216139,-2.076541804556431,-2.925455690884704,-2.0569064229888356
2025-05-28,-2.417746538469656,-0.8926387292501947,-2.0154694307085497,-0.629517568214355,-3.66041247761163,-0.7556677216311702,-2.8885544993027756,-0.6635162561925867,-0.9064607182010742,-5.551971312291593,-0.21330090373480326,-8.777845667021522,-3.9496506531350617,-4.163698659779625,-3.8591657561278025,-3.827526277879967,0.0,-8.841569939232263,-4.00772242926386,-0.8622272888540561,-2.0422416898839946,-2.9011937311793523,-2.032427385701585
2025-05-29,-2.2795930345597903,-0.6972914702877309,-1.8056872503869337,-0.46645997445569076,-3.4833353280232515,-0.6188884106335113,-2.7039915817015703,-0.48801437055892016,-0.6353324426562557,-5.434012283347589,-0.1272136285229153,-8.526293889063785,-3.7911028888521936,-4.044845000597908,-3.6533618646176325,-3.676697628949177,0.0,-8.72781016894132,-3.823099948479669,-0.7052784372983956,-1.9577322655302876,-2.8769257076527,-2.0871441135634106
2025-05-30,-2.4829112007853427,-0.6224388181950369,-1.749078417065153,-0.4109351277990503,-3.550750650544887,-0.6294651351017144,-2.713742015360665,-0.4458507253307653,-0.7288137424730112,-5.646944039183421,-0.2333698721721955,-8.547285731799825,-3.7814237493493663,-3.9988672982531615,-3.62565920867417,-3.7212521441436497,0.0,-8.746674373682472,-3.8618091097671003,-0.7398136375460163,-2.0619428241787308,-2.9327450358042295,-2.0233899629691687
2025-06-02,-2.4700181705228585,-0.6501231347044834,-1.7879735536003416,-0.4288217688265705,-3.5399223545613423,-0.620784523667417,-2.7269712051087525,-0.4291852779956251,-0.9009507295508645,-5.553910949243623,-0.22695938399287519,-8.577761847678955,-3.7921178076817608,-3.997547201301266,-3.65716013514672,-3.7231004921822297,0.0,-8.706190536295,-3.8586071711109837,-0.7239379486235542,-2.055649830649464,-2.8642549451305066,-1.957742948397767
2025-06-03,-2.772978465061704,-1.1964976675786443,-2.3787243079807174,-0.8610769233742155,-4.172204329035756,-1.077953027416756,-3.336679588134517,-0.9647648999116298,-1.5048009306671495,-6.2123659816527566,-0.3760879128370975,-9.063468304454181,-4.3904999465949395,-4.579198818482455,-4.221422824282484,-4.372309957395071,0.0,-8.933643299751004,-4.4596751479062835,-1.1917902292468918,-2.2020450568466354,-3.159170564980318,-2.2441746547708474
2025-06-04,-2.6937950586273463,-0.8384434984446298,-2.043793987712228,-0.5928671977883826,-3.7575739249727347,-0.766382306330804,-2.9723364787599738,-0.7458864203307658,-0.6244354298892363,-5.869802533564183,-0.051465051747145996,-8.73518678612598,-4.067554201802858,-4.302105840385351,-3.903171766446889,-3.9989469983536585,0.0,-8.89644082005524,-4.088056469324353,-0.8671993922195531,-1.8833720467502313,-3.003200237410597,-2.0819314622319562
2025-06-05,-2.5900492711375622,-0.36734973278310656,-1.583256811457101,-0.24549889880663978,-3.291118791801151,-0.3917984440747646,-2.4843444311968166,-0.40292976666642666,-0.02263510397176871,-5.482091482648677,0.0,-8.101855301590977,-3.620640402053721,-3.8371487031979234,-3.4626299767766877,-3.563650465070478,0.0,-8.57758628386841,-3.6295273900355807,-0.5011091270519463,-1.4796681724754568,-3.0247476554435715,-2.104005361782124
2025-06-06,-2.3838988329770827,0.0,-1.1253012156451359,0.0,-2.851775495604991,-0.054532541621665764,-2.030619933260669,0.0,0.0,-4.912264853346937,0.0,-7.672743452801334,-3.197314539826679,-3.3893843312291727,-3.0551295682139323,-3.1488566801513462,0.0,-8.452896702393842,-3.167563697051623,-0.1449887088571078,-1.2977014924591246,-2.7099219017837295,-1.7818196411351517
