,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2025-08-18,-4.270721441967318,-3.1407538863689743,-3.561082597033227,-2.4452271116574997,-4.36881384317468,-1.8657478378062975,-3.8528650331067893,-0.6842869314827693,-3.8174681340015115,-5.804979051631875,-0.6365281855916227,-7.915509091402462,-4.6801334050399435,-5.498224849966271,-6.197633084311837,-5.21638726649476,-5.083584926344109,0.0,-12.732777735152146,-4.64977975383114,-2.0211473578186423,-0.8325893180992527,-4.152939413223356,-4.230652404558388
2025-08-19,-4.335185533192587,-2.596652386131293,-3.03409121318744,-1.9068639216717087,-3.7556122441099626,-1.2284917902488757,-3.31890508043603,-0.48986533941901556,-3.728173767553289,-5.410442495012314,-0.5620998333315197,-7.741611712264762,-4.282786375790238,-5.084615527716108,-5.8141314052690625,-4.749576676099743,-4.692760839086718,0.0,-12.406311615848498,-4.121337705735484,-1.4746783619830839,-0.7583078257139997,-4.128984240027467,-4.204962098874243
2025-08-20,-4.155017337862022,-1.9356884579414424,-2.3283929109760626,-1.1814313770509788,-3.1879608722146013,-0.6481743592782641,-2.6698798856212846,-0.2992597230150107,-3.493751166478909,-4.6604003719820986,-0.5961351736696541,-7.266435773715807,-4.0149522514881575,-4.482498632802356,-5.383071975727905,-3.980469320953317,-4.085827799568786,0.0,-12.124710910156589,-3.4072001845313116,-0.7307871909140284,-0.7922760085016689,-4.105023079685843,-4.008334187897056
2025-08-21,-4.2104020273876275,-1.792904391788297,-2.1892711792684594,-1.0442198733335628,-3.0922070436614546,-0.5516979150728685,-2.5356355354441695,-0.3060906757155202,-3.2228552684232414,-4.724714539033559,-0.4848197512428709,-7.242660012843616,-3.887744326011433,-4.368633454912684,-5.2575687890972,-3.8712596612636707,-3.9789484793389174,0.0,-12.121446864241914,-3.318827055757123,-0.6419814982838834,-0.6811802304511172,-4.166737029209688,-4.103826424844681
2025-08-22,-4.369256694452317,-2.6668933715364718,-3.0762986393663927,-1.9417329870702882,-4.03409431869478,-1.5142227698871746,-3.458712183369639,-0.5872326062576816,-3.8366037941055864,-5.7861230400918835,-0.646092634327744,-7.914113873608519,-4.706378739470251,-5.157808745085024,-6.009826379455574,-4.68536817626134,-4.7801626297334865,0.0,-12.874954191280285,-4.22696005925951,-1.577732401062748,-0.8421348945414131,-4.648731514631288,-4.288066861006357
2025-08-25,-4.320044867741046,-2.1406155901855795,-2.4918624297509573,-1.3397922233139181,-3.648595457525783,-1.1234312840691763,-2.9174636000159904,-0.5663104197870417,-3.934532967579385,-5.338769944832178,-0.6541114304758344,-7.786428898395259,-4.332216211522299,-4.6028750813761565,-5.467756070647334,-4.151863380219911,-4.191161882211891,0.0,-12.661130051683989,-3.698312278005611,-1.0231798628157707,-0.8501378682325478,-4.104515416419585,-4.293946108677426
2025-08-26,-4.398278576475434,-2.5866063493856117,-2.914967610943431,-1.7586220503301608,-3.7949386796352624,-1.2736837947205815,-3.272393403348406,-0.7278803378980236,-4.999521255809736,-5.091870948061061,-1.0214581969092418,-8.200705466293911,-5.311967193259037,-5.021315599403708,-5.939613369325758,-4.580107553212908,-4.54661338527379,0.0,-12.510640443876397,-3.950012387001689,-1.2775461302717561,-1.2167597966371013,-4.251182002428111,-4.164558997500734
2025-08-28,-4.963975717949232,-3.559212862538086,-3.898412617106417,-2.758931164548739,-4.823559132921784,-2.328564364454211,-4.276212510488364,-0.9945645942795789,-6.32568952736886,-6.332483386440679,-1.1896553363702878,-8.943290965179884,-6.121022471254278,-5.895874067849793,-6.848404120753404,-5.430922852866571,-5.410577521840509,0.0,-13.186895628373618,-4.9738450015968105,-2.3343312958153506,-1.3846250543608773,-5.023173279404247,-4.363096116050524
2025-08-29,-5.352812946829588,-3.6683414646027535,-4.000946554187701,-2.939488508107968,-4.723033174876479,-2.27407816179932,-4.328583846048362,-0.8505925376447898,-6.476112159668013,-6.075602818106562,-1.1649595459571782,-8.929790641358782,-6.4047594571658095,-5.960467100602129,-6.897654350051596,-5.479645189491233,-5.506209805867368,0.0,-13.282864976938392,-4.993908282556303,-2.426388500925436,-1.3599779929681088,-4.999435604823976,-4.322684164885682
2025-09-01,-5.142824391687917,-3.3932726206173047,-3.70330781976429,-2.770203604373922,-4.52863105960054,-2.155287759986013,-4.07698866869084,-0.7569033352000432,-6.103937317350527,-6.02244378829444,-1.1546904207443975,-9.188102481465698,-5.645321107392176,-5.701846771239893,-6.631148555482136,-5.217266374668295,-5.259187316637803,0.0,-13.282879453301554,-4.757172394879516,-2.287716523893635,-1.3497291304965686,-4.975691997457632,-4.33698858099495
