,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2024-01-12,120355.56226153896,138246.67627336588,139639.17437221366,126836.02605435846,142942.48742163752,129471.20295735716,139208.08045807373,115668.04591831121,160135.63417603634,142050.88903917547,106751.91092707973,170794.9573833846,135877.61546459736,135481.74916806168,136571.6970651748,135568.19919048366,111874.22894884877,97537.50336348297,139774.10656266328,127143.11472513973,120355.56226153896,107195.69591028412,106772.82420537823
2024-01-15,120641.8688884711,139760.42070445127,141176.27232684148,127879.52082753193,144432.9414853671,130505.13780152118,140706.96979610238,116502.33675498629,160330.14310036946,143386.1981662945,107349.89579465895,172648.6272928037,137272.00338058374,136890.87551936661,137943.266158345,136970.0860773713,111902.18981185507,97975.7691177169,141208.90071520163,128170.38428410965,120641.8688884711,107572.41854830162,107128.93894805745
2024-01-16,120483.31556028349,139364.13903224713,140777.97535661823,127621.71159555583,144154.42044254096,130305.52353603017,140347.24867652825,116502.48731139461,161214.79177669305,143246.98175350478,107378.33336898636,172194.8593758867,136924.8758061722,136551.8560949458,137621.73196624915,136589.58400329482,111930.15766315408,97726.46253632593,140899.9349375501,127961.93011934971,120483.31556028349,107239.93077692308,106795.88112400718
2024-01-17,120361.36145406248,137364.94572508268,138715.54768240577,126183.92829461962,142069.04392511648,128878.9730771871,138165.41785178235,115031.22782017651,160371.79922617986,140936.64873068,107378.31594820769,169663.61018023087,135002.74513420765,134638.7017891978,135819.1682445151,134540.63834392958,111958.13250449243,96386.03175766268,138847.30713290547,126517.51785955434,120361.36145406248,107266.73338411363,106822.5727493243
2024-01-18,120427.2992154368,137226.2409100322,138583.07255293048,126074.76940759324,141853.85047735664,128763.67023813738,138002.65825521573,114742.4800776775,160857.35429968746,140597.77276389278,107298.97986987325,169452.5481097986,134860.0817151366,134487.62943550263,135691.21775060095,134391.91867438777,111986.11433761711,96365.02342903234,138672.76284974982,126375.161075135,120427.2992154368,107293.5426901126,106849.271045712
2024-01-19,121238.06169055158,138572.84167442293,139957.45368405964,126946.38064718834,143417.8916223059,129817.64337412005,139378.85125112292,115239.09817123943,163552.43603022717,142234.6341255999,107623.47828553776,171203.52903768118,136097.41332758227,135711.78902693474,136931.73508638237,135639.1465301416,112014.1031642756,97165.82258076765,140050.27882996143,127310.3240753431,121238.06169055158,107320.35869659422,106875.97601483765
2024-01-23,120989.88628454112,136157.31830346741,137526.98622598313,125261.36979603909,140696.75448973684,128020.211601703,137104.53048185026,113947.06035986815,160777.65806118172,139456.94010324843,107292.53891330714,167953.46564435636,133702.00603959602,133350.21701516313,134643.59960835724,133104.15457496553,112042.09898621582,96763.31349065705,137526.87950795313,125531.31549984218,120989.88628454112,107347.18140523319,106902.6876583689
2024-01-24,121263.35301198137,137661.79490279412,139021.27946562684,126261.48249721236,142371.57387637615,129145.8383975992,138451.56990727692,114204.84044498962,162694.27261012988,140702.98996940922,107401.05611110666,170260.35769023988,135053.2413675662,134711.8139096471,135978.2518641614,134461.13649652145,112070.10180518613,97103.26407511617,138971.21191656214,126572.1953171218,121263.35301198137,107374.01081770455,106929.40597797393
2024-01-25,121301.21474949169,136777.87545674917,138130.88629172926,125700.87729325186,141365.36797542946,128511.14701209376,137605.0612427848,113937.59151950906,161192.74556223987,139718.56862058333,107267.54642070955,169137.37057615415,134279.2619843281,133920.5462829904,135241.19789203373,133668.188342477,112098.11162293522,96753.72626679577,138068.5179287819,125951.83301273822,121301.21474949169,107400.84693568379,106956.13097532128
2024-01-29,121297.03266806796,138395.5660460177,139769.6286173128,126838.26723921063,143137.0642501281,129868.71442780479,139245.6337480936,114103.84356304866,162939.14881189968,140868.12601441445,107365.72535123455,171818.73233842853,135765.13256582513,135383.24683714754,136748.45378076527,135155.98971214332,112126.12844121235,96888.88765258915,139592.88733863976,126979.97829488073,121297.03266806796,107427.68976084689,106897.75985823167
