,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-10-10,1032525.6750748674,1080991.4292374717,1088871.3866532731,1072550.3830848709,1095203.2356553408,1076911.5917837631,1085266.4977407563,1001474.1373879075,1017067.9446988235,1080521.8224452839,994332.7582257809,1239733.7537563422,1035726.5931547137,1070389.9410165213,1037596.0695921587,1092438.7136653366,1081200.2443891836,1035346.4443383318,971952.7390944265,1086556.331501663,1070833.999022827,1032525.6750748674,973497.592460466,1006226.3740678175
2022-10-11,1031245.8749472371,1064914.1217511124,1072818.2886605705,1064840.3801535582,1078878.9368544312,1069076.7365001077,1069338.0746781738,995776.1250561347,1010821.9323492472,1065497.8585934737,992661.9607845807,1224157.1169501357,1020260.7267753691,1056027.9392878097,1023708.2481821069,1077731.8778801302,1066706.172921396,1035605.2097427162,961272.9681394058,1070603.0077939022,1063130.9020578493,1031245.8749472371,966468.6468489774,1003016.7232424554
2022-10-12,1030882.7156343488,1072880.281136062,1080847.523121814,1068903.4425033221,1087064.990933159,1073203.9250415808,1077452.8479046628,999790.48263243,1020032.5509581092,1073691.8186115609,995073.6469083942,1232889.5398959636,1028673.9450126648,1063123.959310457,1030714.6021213803,1084772.5316096412,1073940.5703215278,1035864.0398206558,964786.3904320806,1078735.0400476162,1067257.9974764679,1030882.7156343488,968734.2284119378,1003267.4084400664
2022-10-13,1030281.060488088,1062879.9908682466,1070640.0733668369,1064030.3895321474,1077754.4519032636,1068781.700318548,1067384.9496844742,995770.8271881671,1013518.5500814872,1067065.767708986,991956.6513936381,1216223.1915540725,1022110.9190685693,1053493.903538958,1021772.6414484202,1074971.9498744213,1063776.7646294697,1036122.9345883133,961384.4606342579,1069020.2165449387,1062622.9410090153,1030281.060488088,968122.6344597728,1003518.1562917357
2022-10-14,1030144.0193469458,1075950.2414549475,1083905.195204013,1070677.3010127607,1089943.5151402142,1074890.3583022957,1080383.6936035668,998699.958147789,1025273.6499278938,1073385.8853441323,994463.2172040006,1230691.9516707142,1032404.483662059,1065840.397329731,1033934.0937629831,1087488.449951318,1076130.4399923559,1036381.894061857,971221.553255856,1081462.030088681,1068843.3707055447,1030144.0193469458,968364.5985350542,1003768.9668131224
2022-10-17,1030228.2651583651,1084088.8725832365,1092311.2498460556,1074922.848192877,1096564.483241803,1078276.8672090308,1088444.415842477,999505.2196662565,1028347.4613116276,1078679.1940740081,994712.9823011172,1237186.5926128137,1039979.8413396652,1073170.4129076623,1040883.3883200261,1094544.0489320594,1084118.2613801167,1036640.918257459,975589.7857743935,1089308.5875715604,1072856.0611992935,1030228.2651583651,968171.3968982227,1004019.8400198896
2022-10-18,1033389.0923788573,1100440.2251704652,1108935.2398147746,1083214.819542821,1111958.051374786,1085933.2630373742,1104803.536098432,1004840.795916574,1051441.88888919,1093371.0842695248,999383.0567579968,1259725.1072012037,1050501.6146978377,1088533.28705746,1055836.0142621736,1108962.5875106372,1100822.1261635076,1036900.0071912957,985773.3202761265,1105571.5804725264,1080994.382639295,1033389.0923788573,971614.426166203,1003979.17208992
2022-10-19,1031574.4728154379,1099274.6181291866,1107825.0103995313,1082837.3790838313,1111546.1325535867,1085869.611804207,1103719.2135834198,1006142.28920506,1066065.649870768,1095731.4928311834,998757.8674790674,1257276.1705268037,1052021.5202699169,1087860.1429726563,1055187.1664426208,1108002.5160251157,1100408.805445505,1037159.1608795461,983601.7420278906,1104974.5712196415,1080845.644035157,1031574.4728154379,967651.9147010404,1001652.7013957326
2022-10-20,1035199.6329384599,1104398.2983807556,1112804.52358321,1085394.3917825685,1117636.8702078783,1088981.2174058214,1108821.0450232283,1009284.5199902977,1074234.6399289875,1103541.2879811886,999007.4882556435,1261679.220470656,1055127.2714273145,1092212.5310951024,1059417.6629442708,1112059.8290275566,1105174.2738442153,1037418.3793383958,986669.704636667,1110381.6186438422,1083644.5695916696,1035199.6329384599,971329.4006460768,1004303.7810493194
2022-10-21,1035109.2777957866,1104885.278950555,1113189.228697777,1085688.0450038565,1118328.167519824,1089487.8683034508,1109243.3123233977,1010879.26082069,1067174.3824733812,1104859.9579521227,999257.1714202458,1266302.2254316495,1055869.272572739,1092680.8968510348,1059791.0290213968,1112782.5118221235,1105488.9515594945,1037677.6625840316,985511.954069707,1110940.271916989,1084071.498569952,1035109.2777957866,969812.3373580552,1004685.783040167
